,MetroAreaID,MedianSalesPrice,Area,lat_long,centroid,distance
227,1011,363500.0,Charlotte,"(35.00511, -80.882439)","(35.227085, -80.843124)",24.885924595831092 km
228,1010,345400.0,Columbia,"(33.905958, -81.165443)","(34.0007, -81.0348)",16.008366649698054 km
229,1014,354000.0,Wilmington,"(33.977969, -78.238492)","(39.739071, -75.539787)",683.0356957954995 km
230,1001,645490.0,Maryland,"(38.8208, -76.7835)","(52.2296756, -21.0122287)",4479.3191825925005 km
231,1013,319900.0,Aiken/Augusta,"(33.678327, -81.966967)","(33.5076, -81.8604)",21.364188759675947 km
232,1000,1106990.0,Northern Virginia,"(38.874942, -77.514116)","(38.8051, -77.047)",41.28997397892732 km
233,1004,503990.0,Raleigh,"(35.6782, -78.8709)","(35.884766, -78.625053)",31.927463117192413 km
234,1011,363392.0,Charlotte,"(35.023497, -80.863341)","(35.227085, -80.843124)",22.66168394191967 km
235,1010,374900.0,Columbia,"(34.187516, -81.014363)","(34.0007, -81.0348)",20.808040527945 km
236,1004,476990.0,Raleigh,"(35.6782, -78.8709)","(35.884766, -78.625053)",31.927463117192413 km
237,1011,498500.0,Charlotte,"(35.033053, -80.872506)","(35.227085, -80.843124)",21.692419569834193 km
238,1011,354500.0,Charlotte,"(34.988974, -81.043826)","(35.227085, -80.843124)",32.13471757953517 km
239,1011,346300.0,Charlotte,"(34.988974, -81.043826)","(35.227085, -80.843124)",32.13471757953517 km
240,1010,302900.0,Columbia,"(34.122649, -80.81733)","(34.0007, -81.0348)",24.208280337222007 km
242,1010,351700.0,Columbia,"(34.187516, -81.014363)","(34.0007, -81.0348)",20.808040527945 km
243,1010,293900.0,Columbia,"(34.187516, -81.014363)","(34.0007, -81.0348)",20.808040527945 km
244,1001,546490.0,Maryland,"(38.8208, -76.7835)","(52.2296756, -21.0122287)",4479.3191825925005 km
245,1008,311900.0,Charleston,"(32.874351, -79.99518)","(32.776566, -79.930923)",12.401815765329939 km
246,1004,520990.0,Raleigh,"(35.6782, -78.8709)","(35.884766, -78.625053)",31.927463117192413 km
247,1011,260000.0,Charlotte,"(35.589713, -80.983004)","(35.227085, -80.843124)",42.191419171198596 km
248,1010,371400.0,Columbia,"(34.004661, -81.239475)","(34.0007, -81.0348)",18.913362959850023 km
249,1011,427600.0,Charlotte,"(35.023497, -80.863341)","(35.227085, -80.843124)",22.66168394191967 km
250,1013,304900.0,Aiken/Augusta,"(33.678327, -81.966967)","(33.5076, -81.8604)",21.364188759675947 km
251,1000,987990.0,Northern Virginia,"(38.7972531, -77.6523484)","(38.8051, -77.047)",52.59271546370725 km
252,1010,394400.0,Columbia,"(34.136391, -80.82782)","(34.0007, -81.0348)",24.322785814008995 km
253,1000,1037490.0,Northern Virginia,"(38.7972531, -77.6523484)","(38.8051, -77.047)",52.59271546370725 km
254,1010,192400.0,Columbia,"(33.98179, -80.881181)","(34.0007, -81.0348)",14.347664510850057 km
255,1011,460250.0,Charlotte,"(35.033053, -80.872506)","(35.227085, -80.843124)",21.692419569834193 km
256,1000,586990.0,Northern Virginia,"(38.864415, -77.363472)","(38.8051, -77.047)",28.256402669388933 km
257,1001,562990.0,Maryland,"(38.957975, -76.969203)","(52.2296756, -21.0122287)",4482.568916468948 km
258,1000,582190.0,Northern Virginia,"(39.054844, -77.462364)","(38.8051, -77.047)",45.45209618827713 km
259,1007,403950.0,Atlanta,"(34.168071, -84.431162)","(33.748783, -84.388168)",46.6775786104929 km
260,1001,688490.0,Maryland,"(38.8208, -76.7835)","(52.2296756, -21.0122287)",4479.3191825925005 km
261,1004,568990.0,Raleigh,"(35.6782, -78.8709)","(35.884766, -78.625053)",31.927463117192413 km
262,1010,331900.0,Columbia,"(34.144558, -80.802329)","(34.0007, -81.0348)",26.741356115236144 km
263,1010,276900.0,Columbia,"(34.117881, -80.80629)","(34.0007, -81.0348)",24.7790023328479 km
264,1010,359400.0,Columbia,"(33.961442, -81.261359)","(34.0007, -81.0348)",21.3833267708572 km
265,1000,550990.0,Northern Virginia,"(38.959184, -77.332334)","(38.8051, -77.047)",30.092703428745136 km
266,1010,237900.0,Columbia,"(34.130959, -80.816611)","(34.0007, -81.0348)",24.788272244756836 km
267,1010,283900.0,Columbia,"(34.205036, -80.737904)","(34.0007, -81.0348)",35.55634784696825 km
268,1010,290900.0,Columbia,"(34.004661, -81.239475)","(34.0007, -81.0348)",18.913362959850023 km
269,1000,974490.0,Northern Virginia,"(38.874942, -77.514116)","(38.8051, -77.047)",41.28997397892732 km
270,1010,353400.0,Columbia,"(34.127698, -80.833394)","(34.0007, -81.0348)",23.326782457959638 km
271,1001,453990.0,Maryland,"(38.8917, -76.8407)","(52.2296756, -21.0122287)",4478.351576242803 km
272,1007,532900.0,Atlanta,"(34.11373, -84.530147)","(33.748783, -84.388168)",42.555626505873185 km
273,1001,532990.0,Maryland,"(38.8208, -76.7835)","(52.2296756, -21.0122287)",4479.3191825925005 km
274,1012,213900.0,Greenville/Spartanburg,"(34.7876215, -82.3372797)","(34.8959, -82.2172)",16.276255295038588 km
275,1011,511400.0,Charlotte,"(35.023497, -80.863341)","(35.227085, -80.843124)",22.66168394191967 km
