State,zip,PRICE
FL,34684,444874
FL,34685,717750
FL,34688,1152809
FL,34689,886223
FL,34690,257174
FL,34691,257567
FL,34695,622879
FL,34698,514714
FL,34705,859000
FL,34711,532855
FL,34714,458781
FL,34715,438504
FL,34731,482781
FL,34734,554225
FL,34736,541492
FL,34737,486225
FL,34739,314000
FL,34741,309793
FL,34743,303771
FL,34744,457376
FL,34746,434056
FL,34747,808537
FL,34748,330734
FL,34753,338151
FL,34756,1271784
FL,34758,326965
FL,34759,321850
FL,34760,600000
FL,34761,393278
FL,34762,422019
FL,34769,330263
FL,34771,611448
FL,34772,536479
FL,34773,461632
FL,34785,448140
FL,34786,1400809
FL,34787,605561
FL,34788,454229
FL,34797,433350
FL,34945,554436
FL,34946,462600
FL,34947,283412
FL,34949,1212513
FL,34950,292938
FL,34951,340592
FL,34952,357796
FL,34953,411710
FL,34956,800000
FL,34957,619978
FL,34972,645594
FL,34974,423871
FL,34981,610997
FL,34982,579003
FL,34983,362661
FL,34984,466195
FL,34986,487378
FL,34987,470087
FL,34990,1079753
FL,34994,592862
FL,34996,1829399
FL,34997,515987
GA,29835,69000
GA,29841,175000
GA,29842,412900
GA,30105,399000
GA,30707,412506
GA,30725,313240
GA,30726,199000
GA,30728,205227
GA,30731,948474
GA,30736,378174
GA,30738,488357
GA,30739,313880
GA,30741,344747
GA,30742,366600
GA,30747,370990
GA,30750,383367
GA,30752,351262
GA,30753,289654
GA,30757,382450
GA,31302,494116
GA,31303,349900
GA,31308,522427
GA,31312,339422
GA,31321,341704
GA,31322,383285
GA,31324,617821
GA,31326,448224
GA,31328,892852
GA,31329,605979
GA,31401,1014448
GA,31404,260962
GA,31405,429922
GA,31406,553126
GA,31407,311420
GA,31408,252688
GA,31410,506835
GA,31411,1252471
GA,31415,190978
GA,31419,415941
MD,20601,498880
MD,20602,343350
MD,20603,485543
MD,20607,481775
MD,20608,251600
MD,20609,535000
MD,20611,549930
MD,20613,568661
MD,20616,437199
MD,20617,612000
MD,20618,24900
MD,20619,477085
MD,20621,352900
MD,20622,590250
MD,20623,524000
MD,20624,299000
MD,20625,359900
MD,20626,892500
MD,20628,350000
MD,20630,555900
MD,20634,702333
MD,20636,404862
MD,20637,595380
MD,20639,872767
MD,20640,368216
MD,20645,424675
MD,20646,551688
MD,20650,602925
MD,20653,325892
MD,20657,355966
MD,20658,320000
MD,20659,626700
MD,20662,149900
MD,20664,486021
MD,20667,226950
MD,20674,786583
MD,20675,545507
MD,20676,613333
MD,20677,508970
MD,20678,413516
MD,20684,333233
MD,20685,640932
MD,20688,554633
MD,20689,833333
MD,20690,330000
MD,20692,589900
MD,20693,699999
MD,20695,423825
MD,20705,370381
MD,20706,408923
MD,20707,487011
MD,20708,509395
MD,20710,265450
MD,20711,633054
MD,20712,604943
MD,20714,574425
MD,20715,464566
MD,20716,398629
MD,20720,471982
MD,20721,527320
MD,20722,486600
MD,20723,457866
MD,20724,411379
MD,20732,423920
MD,20733,558333
MD,20735,428312
MD,20736,650713
MD,20737,461512
MD,20740,381590
MD,20743,347675
MD,20744,458019
MD,20745,454316
MD,20746,340315
MD,20747,331579
MD,20748,332411
MD,20751,465960
MD,20754,778000
MD,20759,994343
MD,20764,479843
MD,20765,530000
MD,20769,702956
MD,20770,253266
MD,20772,470217
MD,20774,435403
MD,20776,1429650
MD,20777,1254914
MD,20778,1275999
MD,20779,524900
MD,20781,467988
MD,20782,447312
MD,20783,376619
MD,20784,337761
MD,20785,330679
MD,20794,516356
MD,20812,1675000
MD,20814,667540
MD,20815,1103722
MD,20816,1116700
MD,20817,1519933
MD,20818,1399450
MD,20832,457136
MD,20833,970057
MD,20837,682500
MD,20841,1165712
MD,20842,1444358
MD,20850,489747
MD,20851,505767
MD,20852,466196
MD,20853,535477
MD,20854,2054957
MD,20855,627011
MD,20860,2182500
MD,20861,709436
MD,20866,621210
MD,20871,625686
MD,20872,753550
MD,20874,766557
MD,20876,391012
MD,20877,434040
MD,20878,834895
MD,20879,444172
MD,20882,730114
MD,20886,267913
MD,20895,960504
MD,20901,466758
MD,20902,472686
MD,20903,393171
MD,20904,441279
MD,20905,784114
MD,20906,349793
MD,20910,510285
MD,20912,520070
MD,21001,314954
MD,21009,367661
MD,21012,935930
MD,21013,777056
MD,21014,371530
MD,21015,763207
MD,21017,263326
MD,21028,592450
MD,21029,1188000
MD,21030,857382
MD,21032,642791
MD,21034,331016
MD,21035,1730499
MD,21036,1191246
MD,21037,809497
MD,21040,296720
MD,21042,868458
MD,21043,488581
MD,21044,697735
MD,21045,436100
MD,21046,390561
MD,21047,560065
MD,21048,499669
MD,21050,520910
MD,21053,783300
MD,21054,1124980
MD,21057,1231648
MD,21060,449291
MD,21061,353904
MD,21074,431020
MD,21075,437515
MD,21076,492163
MD,21078,408139
MD,21082,753071
MD,21084,739248
MD,21085,426780
MD,21087,424966
MD,21090,431269
MD,21093,455738
MD,21102,481331
MD,21104,762500
MD,21108,500530
MD,21111,571473
MD,21113,651154
MD,21114,415000
MD,21117,761082
MD,21120,1289850
MD,21122,484633
MD,21128,494078
MD,21130,60000
MD,21131,984014
MD,21132,628600
MD,21133,386650
MD,21136,540937
MD,21140,807580
MD,21144,507731
MD,21146,844303
MD,21152,1007587
MD,21153,899000
MD,21154,535800
MD,21155,663300
MD,21156,748976
MD,21157,481016
MD,21158,495557
MD,21160,335000
MD,21161,532500
MD,21162,404750
MD,21163,590671
MD,21201,262811
MD,21202,555518
MD,21204,631309
MD,21205,206659
MD,21206,229482
MD,21207,292348
MD,21208,428691
MD,21209,282863
MD,21210,665007
MD,21211,271764
MD,21212,375406
MD,21213,146203
MD,21214,239904
MD,21215,224628
MD,21216,164696
MD,21217,178184
MD,21218,271218
MD,21219,500251
MD,21220,432775
MD,21221,370423
MD,21222,260598
MD,21223,144488
MD,21224,305093
MD,21225,177134
MD,21226,174456
MD,21227,303171
MD,21228,370893
MD,21229,172240
MD,21230,452916
MD,21231,410137
MD,21234,291737
MD,21236,299200
MD,21237,288454
MD,21239,266483
MD,21244,298787
MD,21286,404057
MD,21401,657006
MD,21403,851116
MD,21409,619876
MD,21502,156438
MD,21520,1565667
MD,21521,101433
MD,21522,149000
MD,21523,79000
MD,21529,144900
MD,21530,157433
MD,21531,1183225
MD,21532,221942
MD,21536,1000700
MD,21539,116200
MD,21541,991418
MD,21545,133950
MD,21550,965036
MD,21555,120000
MD,21557,179336
MD,21561,838771
MD,21562,134450
MD,21601,984679
MD,21607,233900
MD,21612,686250
MD,21613,319641
MD,21617,403142
MD,21619,495584
MD,21620,489766
MD,21622,329925
MD,21623,282008
MD,21624,1250000
MD,21625,152200
MD,21626,319150
MD,21628,329950
MD,21629,428560
MD,21631,327050
MD,21632,195892
MD,21634,268633
MD,21635,691483
MD,21636,285467
MD,21638,843519
MD,21639,363725
MD,21643,279005
MD,21644,515000
MD,21648,362500
MD,21650,1418333
MD,21651,427167
MD,21652,1833167
MD,21654,1122600
MD,21655,1211975
MD,21657,482633
MD,21658,1712250
MD,21659,550000
MD,21660,358986
MD,21661,814362
MD,21662,1333000
MD,21663,887000
MD,21664,137900
MD,21666,555915
MD,21668,215000
MD,21669,1024500
MD,21671,560594
MD,21672,157200
MD,21673,637878
MD,21675,495000
MD,21677,1650000
MD,21678,773780
MD,21679,475967
MD,21701,490847
MD,21702,517644
MD,21703,425764
MD,21704,585007
MD,21710,1170000
MD,21711,642450
MD,21713,364529
MD,21716,430457
MD,21722,323117
MD,21723,724950
MD,21727,375361
MD,21733,136425
MD,21734,343615
MD,21737,550000
MD,21738,1574000
MD,21740,287904
MD,21742,322603
MD,21750,424225
MD,21754,737225
MD,21755,562023
MD,21756,339725
MD,21757,646250
MD,21758,865000
MD,21766,233167
MD,21767,262500
MD,21769,728348
MD,21770,631856
MD,21771,679609
MD,21773,509663
MD,21774,601696
MD,21776,479438
MD,21777,485000
MD,21778,1079967
MD,21779,274950
MD,21782,338283
MD,21783,520580
MD,21784,634778
MD,21787,387763
MD,21788,250529
MD,21791,509200
MD,21793,679966
MD,21794,787500
MD,21795,168475
MD,21797,1113743
MD,21798,452940
MD,21801,387176
MD,21804,224269
MD,21811,538597
MD,21813,557300
MD,21814,999999
MD,21817,190838
MD,21821,410475
MD,21822,676643
MD,21824,103100
MD,21826,297125
MD,21829,1300000
MD,21830,429200
MD,21835,39900
MD,21837,368210
MD,21838,375850
MD,21840,400000
MD,21841,465633
MD,21842,681263
MD,21843,495000
MD,21849,449000
MD,21850,270220
MD,21851,323046
MD,21853,327525
MD,21856,563725
MD,21861,189900
MD,21862,499000
MD,21863,396488
MD,21864,107000
MD,21865,218967
